employee_id,total_time,time_period_1,time_period_2,time_period_3,break_1,break_2,num_breaks
1408.0,9.016666667,4.5,4.516666667,0.0,0.5000000001,0.0,1.0
1408.0,9.066666667,4.466666667,4.6,0.0,0.5333333333,0.0,1.0
1408.0,8.033333333,4.333333333,3.7,0.0,0.5333333333,0.0,1.0
1408.0,8.1,4.416666667,3.683333333,0.0,0.5166666668,0.0,1.0
1408.0,7.95,4.35,3.6,0.0,0.6333333333,0.0,1.0
1408.0,8.083333333,4.433333333,3.65,0.0,0.5166666668,0.0,1.0
1408.0,7.966666667,4.35,3.616666667,0.0,0.6,0.0,1.0
1408.0,8.15,4.483333333,3.666666667,0.0,0.5000000001,0.0,1.0
1408.0,7.933333333,4.366666667,3.566666667,0.0,0.65,0.0,1.0
1408.0,7.983333333,4.45,3.533333333,0.0,0.5166666666,0.0,1.0
1408.0,8.05,4.516666667,3.533333333,0.0,0.5000000001,0.0,1.0
1408.0,8.116666667,4.433333333,3.683333333,0.0,0.4666666668,0.0,1.0
1408.0,8.05,4.433333333,3.616666667,0.0,0.5333333333,0.0,1.0
1408.0,7.966666667,4.383333333,3.583333333,0.0,0.5666666668,0.0,1.0
1408.0,8.066666667,4.4,3.666666667,0.0,0.4833333333,0.0,1.0
1408.0,8.016666667,4.383333333,3.633333333,0.0,0.5333333333,0.0,1.0
1408.0,8.083333333,4.416666667,3.666666667,0.0,0.4999999999,0.0,1.0
1408.0,8.116666667,4.383333333,3.733333333,0.0,0.4666666668,0.0,1.0
1408.0,8.0,4.316666667,3.683333333,0.0,0.5333333333,0.0,1.0
1408.0,8.133333333,4.433333333,3.7,0.0,0.4500000001,0.0,1.0
1408.0,8.1,4.683333333,3.416666667,0.0,0.4833333332,0.0,1.0
1408.0,8.083333333,4.4,3.683333333,0.0,0.4833333333,0.0,1.0
1408.0,8.1,4.416666667,3.683333333,0.0,0.4833333333,0.0,1.0
1408.0,8.066666667,4.433333333,3.633333333,0.0,0.5000000001,0.0,1.0
1408.0,8.066666667,4.416666667,3.65,0.0,0.4666666668,0.0,1.0
1408.0,8.016666666,4.416666667,3.6,0.0,0.5666666668,0.0,1.0
1408.0,8.066666667,4.483333333,3.583333333,0.0,0.5166666668,0.0,1.0
1408.0,8.05,4.45,3.6,0.0,0.4333333333,0.0,1.0
1408.0,8.033333333,4.316666667,3.716666667,0.0,0.5166666666,0.0,1.0
1408.0,7.95,4.45,3.5,0.0,0.4999999999,0.0,1.0
1408.0,8.133333333,4.483333333,3.65,0.0,0.4666666666,0.0,1.0
1408.0,8.033333333,4.466666667,3.566666667,0.0,0.5000000001,0.0,1.0
1408.0,8.033333333,4.433333333,3.6,0.0,0.4833333333,0.0,1.0
1408.0,8.15,4.433333333,3.716666667,0.0,0.4500000001,0.0,1.0
1408.0,8.066666667,4.45,3.616666667,0.0,0.4833333333,0.0,1.0
1408.0,8.1,4.516666667,3.583333333,0.0,0.3999999999,0.0,1.0
1408.0,8.033333333,4.366666667,3.666666667,0.0,0.5166666668,0.0,1.0
1408.0,8.083333333,4.433333333,3.65,0.0,0.4833333333,0.0,1.0
1408.0,8.1,4.4,3.7,0.0,0.4833333333,0.0,1.0
1408.0,8.0,4.4,3.6,0.0,0.6,0.0,1.0
1408.0,8.05,4.433333333,3.616666667,0.0,0.4833333333,0.0,1.0
1408.0,8.066666667,4.483333333,3.583333333,0.0,0.4666666666,0.0,1.0
1408.0,8.033333333,4.433333333,3.6,0.0,0.5000000001,0.0,1.0
1408.0,7.933333333,4.35,3.583333333,0.0,0.5166666668,0.0,1.0
1408.0,7.916666667,4.366666667,3.55,0.0,0.6,0.0,1.0
1408.0,8.133333333,4.45,3.683333333,0.0,0.4666666668,0.0,1.0
1408.0,8.0,4.4,3.6,0.0,0.5166666668,0.0,1.0
1408.0,8.016666667,4.4,3.616666667,0.0,0.5000000001,0.0,1.0
1408.0,8.033333334,4.416666667,3.616666667,0.0,0.4999999999,0.0,1.0
1408.0,7.883333333,4.216666667,3.666666667,0.0,0.5166666666,0.0,1.0
1408.0,8.066666667,4.466666667,3.6,0.0,0.4499999999,0.0,1.0
1408.0,8.0,4.4,3.6,0.0,0.5166666666,0.0,1.0
1408.0,8.0,4.45,3.55,0.0,0.5000000001,0.0,1.0
1408.0,7.95,4.433333333,3.516666667,0.0,0.5666666668,0.0,1.0
1408.0,8.083333333,4.466666667,3.616666667,0.0,0.4333333333,0.0,1.0
1408.0,8.083333333,4.45,3.633333333,0.0,0.5166666666,0.0,1.0
1408.0,8.066666667,4.533333333,3.533333333,0.0,0.4833333333,0.0,1.0
1408.0,8.033333333,4.483333333,3.55,0.0,0.4833333333,0.0,1.0
1408.0,8.133333333,4.416666667,3.716666667,0.0,0.4666666666,0.0,1.0
1408.0,8.033333333,4.366666667,3.666666667,0.0,0.5166666668,0.0,1.0
1408.0,8.083333333,4.533333333,3.55,0.0,0.4999999999,0.0,1.0
1408.0,7.966666667,4.383333333,3.583333333,0.0,0.55,0.0,1.0
1408.0,8.066666667,4.4,3.666666667,0.0,0.55,0.0,1.0
1408.0,8.15,4.566666667,3.583333333,0.0,0.3833333334,0.0,1.0
1408.0,8.0,4.366666667,3.633333333,0.0,0.5499999999,0.0,1.0
1408.0,8.016666667,4.383333333,3.633333333,0.0,0.5333333333,0.0,1.0
1408.0,8.016666667,4.45,3.566666667,0.0,0.5000000001,0.0,1.0
1408.0,8.033333333,4.866666667,3.166666667,0.0,0.5333333333,0.0,1.0
1408.0,8.0,4.466666667,3.533333333,0.0,0.5000000001,0.0,1.0
1408.0,8.066666667,4.433333333,3.633333333,0.0,0.5166666666,0.0,1.0
1408.0,8.0,4.466666667,3.533333333,0.0,0.5166666666,0.0,1.0
1408.0,8.1,4.4,3.7,0.0,0.5333333333,0.0,1.0
1408.0,8.2,4.5,3.7,0.0,0.3833333332,0.0,1.0
1408.0,8.15,4.466666667,3.683333333,0.0,0.4333333333,0.0,1.0
