employee_id,year,total_time,time_period_1,time_period_2,time_period_3,break_1,break_2,num_breaks,break_required,illegal_breaks,violations
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.0,4.0,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.0,4.116666667,3.883333333,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,3.85,4.216666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.116666667,3.966666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.183333333,3.916666667,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,7.966666666,3.766666667,4.2,0.0,0.4666666668,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.016666667,4.066666667,0.0,0.5000000001,0.0,1,Y,OK,0
7804,2023,8.1,4.2,3.9,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,3.833333333,4.25,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.3,3.783333333,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.2,3.9,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,4.216666667,3.85,0.0,0.4833333332,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.233333333,3.85,0.0,0.4833333332,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.25,3.85,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.1,3.933333333,4.166666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,3.966666666,4.116666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.1,3.983333333,4.116666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,4.15,3.916666667,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
7804,2023,8.033333333,4.166666667,3.866666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.233333333,3.866666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.116666667,3.95,4.166666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,3.9,4.166666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,3.95,4.133333333,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,3.883333333,4.183333333,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,3.9,4.166666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.1,3.916666667,4.183333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,3.883333333,4.2,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.183333333,3.916666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.15,3.933333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.1,4.166666667,3.933333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.066666667,4.366666667,3.7,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.166666667,3.916666667,0.0,0.4666666668,0.0,1,Y,VIOLATION,1
7804,2023,8.05,4.166666667,3.883333333,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.083333333,4.2,3.883333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
7804,2023,8.05,3.9,4.15,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
7804,2023,8.1,3.966666667,4.133333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
