employee_id,year,total_time,time_period_1,time_period_2,time_period_3,break_1,break_2,num_breaks,break_required,illegal_breaks,violations
4491,2022,7.5,3.0,4.5,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,7.666666667,3.5,4.166666667,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,8.0,3.5,4.5,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,8.0,3.5,4.5,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,7.516666667,4.0,3.516666667,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,7.933333333,4.15,3.783333333,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,7.883333333,4.183333333,3.7,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,7.883333333,4.183333333,3.7,0.0,0.55,0.0,1,Y,OK,0
4491,2022,7.916666667,4.2,3.716666667,0.0,0.5333333333,0.0,1,Y,OK,0
4491,2022,7.933333334,4.633333333,3.3,0.0,0.5666666666,0.0,1,Y,OK,0
4491,2022,7.866666667,4.2,3.666666667,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
4491,2022,7.983333334,4.35,3.633333333,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
4491,2022,7.816666667,4.15,3.666666667,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,7.966666667,4.45,3.516666667,0.0,0.4499999999,0.0,1,Y,VIOLATION,1
4491,2022,7.983333333,3.783333333,4.2,0.0,0.5000000001,0.0,1,Y,OK,0
4491,2022,7.883333333,4.25,3.633333333,0.0,0.3833333334,0.0,1,Y,VIOLATION,1
4491,2022,8.133333333,4.516666667,3.616666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,8.05,5.0,3.05,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,7.666666667,3.966666667,3.7,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
4491,2022,8.016666667,4.7,3.316666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
4491,2022,7.966666667,4.35,3.616666667,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
4491,2022,8.283333333,4.283333333,4.0,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
4491,2022,7.883333333,4.216666667,3.666666667,0.0,0.4500000001,0.0,1,Y,VIOLATION,1
4491,2022,6.616666667,3.066666667,3.55,0.0,0.5499999999,0.0,1,Y,OK,0
4491,2022,7.916666667,4.266666667,3.65,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,7.866666667,3.9,3.966666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,3.366666667,3.366666667,0.0,0.0,0.0,0.0,0,N,OK,0
4491,2022,8.183333333,4.3,3.883333333,0.0,0.4000000001,0.0,1,Y,VIOLATION,1
4491,2022,8.1,4.4,3.7,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,7.933333333,4.15,3.783333333,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,8.133333333,4.566666667,3.566666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,7.966666667,4.3,3.666666667,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,8.083333333,4.75,3.333333333,0.0,0.4500000001,0.0,1,Y,VIOLATION,1
4491,2022,7.816666667,4.116666667,3.7,0.0,0.5166666666,0.0,1,Y,OK,0
4491,2022,8.333333333,4.55,3.783333333,0.0,0.4500000001,0.0,1,Y,VIOLATION,1
4491,2022,7.9,4.866666667,3.033333333,0.0,0.4666666666,0.0,1,Y,VIOLATION,1
4491,2022,8.116666667,4.75,3.366666667,0.0,0.4833333333,0.0,1,Y,VIOLATION,1
4491,2022,8.05,4.083333333,3.966666667,0.0,0.4999999999,0.0,1,Y,VIOLATION,1
