employee_id,department,Location,Supervisor,date,punchin1,punchout1,punchin2,punchout2,punchin3,punchout3,year,pay_rate,hours_worked,break_length_1,break_length_2
9424,PROCUREMENT,LA,Christopher,2022-04-18,4/18/22 8:00,4/18/22 12:00,4/18/22 12:30,4/18/22 16:30,,,2022,23.0,8.0,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-04-19,4/19/22 8:00,4/19/22 12:00,4/19/22 12:30,4/19/22 16:30,,,2022,23.0,8.0,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-04-20,4/20/22 8:00,4/20/22 12:00,4/20/22 12:30,4/20/22 16:30,,,2022,23.0,8.0,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-04-21,4/21/22 11:24,4/21/22 12:19,4/21/22 12:49,4/21/22 16:31,,,2022,23.0,4.6,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-04-22,4/22/22 7:58,4/22/22 12:14,4/22/22 12:45,4/22/22 16:32,,,2022,23.0,8.0,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-04-25,4/25/22 8:01,4/25/22 12:16,4/25/22 12:46,4/25/22 16:32,,,2022,23.0,8.0,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-04-26,4/26/22 7:56,4/26/22 12:15,4/26/22 12:46,4/26/22 16:30,,,2022,23.0,8.0,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-04-27,4/27/22 7:58,4/27/22 12:15,4/27/22 12:46,4/27/22 16:30,,,2022,23.0,8.0,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-04-28,4/28/22 7:59,4/28/22 12:25,4/28/22 12:56,4/28/22 16:35,,,2022,23.0,8.1,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-04-29,4/29/22 7:57,4/29/22 12:17,4/29/22 12:48,4/29/22 16:32,,,2022,23.0,8.1,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-05-02,5/2/22 7:55,5/2/22 12:15,5/2/22 12:45,5/2/22 16:30,,,2022,23.0,8.1,0 days 00:30:00,
9424,PROCUREMENT,LA,Christopher,2022-05-03,5/3/22 8:03,5/3/22 12:15,5/3/22 12:46,5/3/22 16:35,,,2022,23.0,8.0,0 days 00:31:00,
9424,PROCUREMENT,LA,Christopher,2022-05-04,5/4/22 7:55,5/4/22 12:15,5/4/22 12:48,5/4/22 16:33,,,2022,23.0,8.1,0 days 00:33:00,
9424,PROCUREMENT,LA,Christopher,2022-05-05,5/5/22 8:02,5/5/22 12:15,5/5/22 12:46,5/5/22 16:35,,,2022,23.0,8.0,0 days 00:31:00,
