employee_id,department,Location,Supervisor,date,punchin1,punchout1,punchin2,punchout2,punchin3,punchout3
9424,PROCUREMENT,LA,Christopher,4/18/22,4/18/22 8:00,4/18/22 12:00,4/18/22 12:30,4/18/22 16:30,,
9424,PROCUREMENT,LA,Christopher,4/19/22,4/19/22 8:00,4/19/22 12:00,4/19/22 12:30,4/19/22 16:30,,
9424,PROCUREMENT,LA,Christopher,4/20/22,4/20/22 8:00,4/20/22 12:00,4/20/22 12:30,4/20/22 16:30,,
9424,PROCUREMENT,LA,Christopher,4/21/22,4/21/22 11:24,4/21/22 12:19,4/21/22 12:49,4/21/22 16:31,,
9424,PROCUREMENT,LA,Christopher,4/22/22,4/22/22 7:58,4/22/22 12:14,4/22/22 12:45,4/22/22 16:32,,
9424,PROCUREMENT,LA,Christopher,4/25/22,4/25/22 8:01,4/25/22 12:16,4/25/22 12:46,4/25/22 16:32,,
9424,PROCUREMENT,LA,Christopher,4/26/22,4/26/22 7:56,4/26/22 12:15,4/26/22 12:46,4/26/22 16:30,,
9424,PROCUREMENT,LA,Christopher,4/27/22,4/27/22 7:58,4/27/22 12:15,4/27/22 12:46,4/27/22 16:30,,
9424,PROCUREMENT,LA,Christopher,4/28/22,4/28/22 7:59,4/28/22 12:25,4/28/22 12:56,4/28/22 16:35,,
9424,PROCUREMENT,LA,Christopher,4/29/22,4/29/22 7:57,4/29/22 12:17,4/29/22 12:48,4/29/22 16:32,,
9424,PROCUREMENT,LA,Christopher,5/2/22,5/2/22 7:55,5/2/22 12:15,5/2/22 12:45,5/2/22 16:30,,
9424,PROCUREMENT,LA,Christopher,5/3/22,5/3/22 8:03,5/3/22 12:15,5/3/22 12:46,5/3/22 16:35,,
9424,PROCUREMENT,LA,Christopher,5/4/22,5/4/22 7:55,5/4/22 12:15,5/4/22 12:48,5/4/22 16:33,,
9424,PROCUREMENT,LA,Christopher,5/5/22,5/5/22 8:02,5/5/22 12:15,5/5/22 12:46,5/5/22 16:35,,
9424,PROCUREMENT,LA,Christopher,5/6/22,5/6/22 7:56,5/6/22 12:15,5/6/22 12:46,5/6/22 16:36,,
9424,PROCUREMENT,LA,Christopher,5/9/22,5/9/22 7:57,5/9/22 12:15,5/9/22 12:46,5/9/22 16:34,,
9424,PROCUREMENT,LA,Christopher,5/10/22,5/10/22 8:00,5/10/22 12:15,5/10/22 12:45,5/10/22 16:39,,
9424,PROCUREMENT,LA,Christopher,5/11/22,5/11/22 7:55,5/11/22 12:15,5/11/22 12:47,5/11/22 16:35,,
9424,PROCUREMENT,LA,Christopher,5/12/22,5/12/22 8:04,5/12/22 12:15,5/12/22 12:44,5/12/22 16:32,,
9424,PROCUREMENT,LA,Christopher,5/13/22,5/13/22 8:07,5/13/22 12:15,5/13/22 12:46,5/13/22 16:33,,
9424,PROCUREMENT,LA,Christopher,5/16/22,5/16/22 7:58,5/16/22 12:15,5/16/22 12:47,5/16/22 16:32,,
